defined_class	defined_class_label	entity	entity_label
http://purl.obolibrary.org/obo/XPO_0103885		XAO:0004219	ceratohyal
http://purl.obolibrary.org/obo/XPO_0103886		XAO:0000031	ciliated epidermal cell
http://purl.obolibrary.org/obo/XPO_0103887		XAO:0003035	hindlimb digit
http://purl.obolibrary.org/obo/XPO_0103888		XAO:0003103	claw
http://purl.obolibrary.org/obo/XPO_0103889		XAO:0003212	metatarsus
http://purl.obolibrary.org/obo/XPO_0103890		XAO:0001014	melanophore
http://purl.obolibrary.org/obo/XPO_0103891		XAO:0004100	retinal ganglion cell
http://purl.obolibrary.org/obo/XPO_0103892		GO:0030017	sarcomere
http://purl.obolibrary.org/obo/XPO_0103893		XAO:0000058	somite
http://purl.obolibrary.org/obo/XPO_0103894		GO:0005876	spindle microtubule
http://purl.obolibrary.org/obo/XPO_0103895		XAO:0000314	trunk somite
