?cls	?xref
<http://purl.obolibrary.org/obo/XAO_0004176>	"UBERON:0010078"
<http://purl.obolibrary.org/obo/XAO_0004005>	"CARO:0000042"
<http://purl.obolibrary.org/obo/XAO_0004005>	"UBERON:0000478"
<http://purl.obolibrary.org/obo/XAO_0000162>	"UBERON:0002046"
<http://purl.obolibrary.org/obo/GO_0005575>	"NIF_Subcellular:sao1337158144"
<http://purl.obolibrary.org/obo/XAO_0003267>	"UBERON:0002113"
<http://purl.obolibrary.org/obo/XAO_0004120>	"UBERON:0003906"
<http://purl.obolibrary.org/obo/XAO_0000056>	"UBERON:0003058"
<http://purl.obolibrary.org/obo/XAO_0001002>	"UBERON:0005597"
<http://purl.obolibrary.org/obo/XAO_0003211>	"UBERON:0009879"
<http://purl.obolibrary.org/obo/XAO_0004014>	"UBERON:0007842"
<http://purl.obolibrary.org/obo/XAO_0004372>	"UBERON:0009635"
<http://purl.obolibrary.org/obo/XAO_0000048>	"UBERON:0002342"
<http://purl.obolibrary.org/obo/XAO_0003237>	"CL:0000061"
<http://purl.obolibrary.org/obo/XAO_0005189>	"UBERON:0003217"
<http://purl.obolibrary.org/obo/XAO_0005070>	"UBERON:0005478"
<http://purl.obolibrary.org/obo/XAO_0000453>	"UBERON:0003117"
<http://purl.obolibrary.org/obo/XAO_0003016>	"CL:0000353"
<http://purl.obolibrary.org/obo/XAO_0004006>	"CARO:0000069"
<http://purl.obolibrary.org/obo/XAO_0004006>	"UBERON:0000486"
<http://purl.obolibrary.org/obo/XAO_0000258>	"UBERON:0000992"
<http://purl.obolibrary.org/obo/XAO_0004121>	"UBERON:0004356"
<http://purl.obolibrary.org/obo/XAO_0004507>	"CL:0000062"
<http://purl.obolibrary.org/obo/GO_0043651>	"Reactome:R-HSA-2046105"
<http://purl.obolibrary.org/obo/GO_0043651>	"Wikipedia:Linoleic_acid"
<http://purl.obolibrary.org/obo/XAO_0000057>	"UBERON:0003059"
<http://purl.obolibrary.org/obo/XAO_0000202>	"UBERON:0012284"
<http://purl.obolibrary.org/obo/XAO_0004015>	"UBERON:0008907"
<http://purl.obolibrary.org/obo/XAO_0003238>	"CL:0000058"
