defined_class	defined_class_label	entity	entity_label	location	location_label
		XAO:0005008	cilium	XAO:0000031	ciliated epidermal cell
		XAO:0005008	cilium	XAO:0005139	multiciliated cell
		XAO:0005255	filopodium	XAO:0000220	dermatome
		GO:0031941	filamentous actin	XAO:0000207	blastocoel roof
		XAO:0004469	trabecula	XAO:0000064	heart
		XAO:0001014	melanophore	XAO:0000087	tail region
		XAO:0001014	melanophore	XAO:0000054	trunk region
		XAO:0004069	migratory neural crest cell	XAO:0000054	trunk region
		XAO:0005139	multiciliated cell	XAO:0000029	epidermis outer layer
		XAO:0005034	neural progenitor cell	XAO:0003226	optic tectum
		XAO:0003023	neuron	XAO:0003226	optic tectum
		XAO:0003012	cell	XAO:0004518	proximal tubule
		XAO:0000058	somite	XAO:0005280	ventro-lateral region
