defined_class	defined_class_label	entity	entity_label	location	location_label
		XAO:0000124	blood	XAO:0000064	heart
		XAO:0000052	cardinal vein	XAO:0003026	tail
		XAO:0004013	cartilage element	XAO:0000099	branchial arch
		XAO:0004314	digit-joint region	XAO:0004239	hindlimb digit 1
		XAO:0004314	digit-joint region	XAO:0004412	hindlimb digit 2
		XAO:0004314	digit-joint region	XAO:0004413	hindlimb digit 3
		XAO:0004314	digit-joint region	XAO:0004414	hindlimb digit 4
		XAO:0004314	digit-joint region	XAO:0004415	hindlimb digit 5
		XAO:0004314	digit-joint region	XAO:0004478	forelimb digit 2
		XAO:0004314	digit-joint region	XAO:0004479	forelimb digit 3
		XAO:0004314	digit-joint region	XAO:0004480	forelimb digit 4
		XAO:0004314	digit-joint region	XAO:0004481	forelimb digit 5
		XAO:0001014	melanophore	XAO:0000087	tail region
		XAO:0001014	melanophore	XAO:0000054	trunk region
		XAO:0004265	autopod	XAO:0004106	regenerating forelimb
		XAO:0004049	perichondrium	XAO:0004106	regenerating forelimb
		XAO:0004265	autopod	XAO:0004107	regenerating hindlimb
		XAO:0004264	zeugopod	XAO:0004107	regenerating hindlimb
