defined_class	defined_class_name	anatomical_entity	anatomical_entity_label	location	location_label	anatomical_entity_fused_with	anatomical_entity_fused_with_label	location_fused_with	location_fused_with_label
http://purl.obolibrary.org/obo/XPO_0133374	fused spikes part of regenerating hindlimb	XAO:0004489	spike	XAO:0004107	regenerating hindlimb	XAO:0004489	spike	XAO:0004107	regenerating hindlimb
http://purl.obolibrary.org/obo/XPO_0133375	fused spikes part of regenerating forelimb	XAO:0004489	spike	XAO:0004106	regenerating forelimb	XAO:0004489	spike	XAO:0004106	regenerating forelimb
http://purl.obolibrary.org/obo/XPO_0133376	fused metacarpals part of regenerating forelimb	XAO:0003208	metacarpus	XAO:0004106	regenerating forelimb	XAO:0003208	metacarpus	XAO:0004106	regenerating forelimb
http://purl.obolibrary.org/obo/XPO_0133377	fused metatarsals part of regenerating hindlimb	XAO:0003212	metatarsus	XAO:0004107	regenerating hindlimb	XAO:0003212	metatarsus	XAO:0004107	regenerating hindlimb
http://purl.obolibrary.org/obo/XPO_0133378	fused forelimb digits part of regenerating forelimb	XAO:0003036	forelimb digit	XAO:0004106	regenerating forelimb	XAO:0003036	forelimb digit	XAO:0004106	regenerating forelimb
http://purl.obolibrary.org/obo/XPO_0133379	fused hindlimb digits part of regenerating hindlimb	XAO:0003035	hindlimb digit	XAO:0004107	regenerating hindlimb	XAO:0003035	hindlimb digit	XAO:0004107	regenerating hindlimb
http://purl.obolibrary.org/obo/XPO_0133380	fused tarsi part of regenerating hindlimb	XAO:0003211	tarsus	XAO:0004107	regenerating hindlimb	XAO:0003211	tarsus	XAO:0004107	regenerating hindlimb
http://purl.obolibrary.org/obo/XPO_0133381	fused carpi part of regenerating forelimb	XAO:0003207	carpus	XAO:0004106	regenerating forelimb	XAO:0003207	carpus	XAO:0004106	regenerating forelimb
http://purl.obolibrary.org/obo/XPO_0133382	tibia-fibula fused with autopod part of regenerating hindlimb	XAO:0003213	tibia-fibula	XAO:0004107	regenerating hindlimb	XAO:0004265	autopod	XAO:0004107	regenerating hindlimb
