defined_class	defined_class_name	molecular_function	molecular_function_label
http://purl.obolibrary.org/obo/XPO_0142751		GO:0016491	oxidoreductase activity
http://purl.obolibrary.org/obo/XPO_0142752		GO:0008139	nuclear localization sequence binding
