defined_class	defined_class_name	molecular_function	molecular_function_label
http://purl.obolibrary.org/obo/XPO_0131697		GO:0004707	MAP kinase activity
http://purl.obolibrary.org/obo/XPO_0133398		GO:0004711	ribosomal protein S6 kinase activity
http://purl.obolibrary.org/obo/XPO_0133399		GO:0004197	cysteine-type endopeptidase activity
