defined_class	defined_class_name	anatomical_entity	anatomical_entity_label
http://purl.obolibrary.org/obo/XPO_0141601		XAO:0000189	auditory apparatus
http://purl.obolibrary.org/obo/XPO_0141602		XAO:0000154	bladder
http://purl.obolibrary.org/obo/XPO_0141603		XAO:0000010	brain
http://purl.obolibrary.org/obo/XPO_0141604		XAO:0000121	bronchus
http://purl.obolibrary.org/obo/XPO_0141605		XAO:0005198	cardiac atrium
http://purl.obolibrary.org/obo/XPO_0141606		XAO:0003193	cardiac ventricle
http://purl.obolibrary.org/obo/XPO_0141607		XAO:0003165	cavitated compound organ
http://purl.obolibrary.org/obo/XPO_0141608		XAO:0000179	eye
http://purl.obolibrary.org/obo/XPO_0141609		XAO:0000135	gall bladder
http://purl.obolibrary.org/obo/XPO_0141610		XAO:0003146	gonad
http://purl.obolibrary.org/obo/XPO_0141611		XAO:0000064	heart
http://purl.obolibrary.org/obo/XPO_0141612		XAO:0000129	intestine
http://purl.obolibrary.org/obo/XPO_0141613		XAO:0003267	kidney
http://purl.obolibrary.org/obo/XPO_0141614		XAO:0003081	larynx
http://purl.obolibrary.org/obo/XPO_0141615		XAO:0003191	left atrium
http://purl.obolibrary.org/obo/XPO_0141616		XAO:0000372	left lymph heart
http://purl.obolibrary.org/obo/XPO_0141617		XAO:0000133	liver
http://purl.obolibrary.org/obo/XPO_0141618		XAO:0000119	lung
http://purl.obolibrary.org/obo/XPO_0141619		XAO:0000273	olfactory organ
http://purl.obolibrary.org/obo/XPO_0141620		XAO:0000136	pancreas
http://purl.obolibrary.org/obo/XPO_0141621		XAO:0003192	right atrium
http://purl.obolibrary.org/obo/XPO_0141622		XAO:0000371	right lymph heart
http://purl.obolibrary.org/obo/XPO_0141623		XAO:0004012	skeletal element
http://purl.obolibrary.org/obo/XPO_0141624		XAO:0003164	solid compound organ
http://purl.obolibrary.org/obo/XPO_0141625		XAO:0000020	spinal cord
http://purl.obolibrary.org/obo/XPO_0141626		XAO:0000328	spleen
http://purl.obolibrary.org/obo/XPO_0141627		XAO:0000128	stomach
http://purl.obolibrary.org/obo/XPO_0141628		XAO:0000163	thymus
http://purl.obolibrary.org/obo/XPO_0141629		XAO:0000162	thyroid
http://purl.obolibrary.org/obo/XPO_0141630		XAO:0000118	trachea
