defined_class	defined_class_name	anatomical_entity	anatomical_entity_label
http://purl.obolibrary.org/obo/XPO_0103560		XAO:0000310	anterior neural fold
http://purl.obolibrary.org/obo/XPO_0103561		XAO:0005202	anterior-posterior axis
http://purl.obolibrary.org/obo/XPO_0103562		XAO:0000092	archenteron
http://purl.obolibrary.org/obo/XPO_0103563		XAO:0003096	glossopharyngeal nerve
http://purl.obolibrary.org/obo/XPO_0103564		XAO:0003094	facial nerve
http://purl.obolibrary.org/obo/XPO_0103565		XAO:0003097	vagus nerve
http://purl.obolibrary.org/obo/XPO_0103566		XAO:0003214	femur
http://purl.obolibrary.org/obo/XPO_0103567		XAO:0003030	forelimb
http://purl.obolibrary.org/obo/XPO_0103568		XAO:0004295	forelimb stylopod
http://purl.obolibrary.org/obo/XPO_0103569		XAO:0004297	forelimb zeugopod
http://purl.obolibrary.org/obo/XPO_0103570		XAO:0003031	hindlimb
http://purl.obolibrary.org/obo/XPO_0103571		XAO:0003035	hindlimb digit
http://purl.obolibrary.org/obo/XPO_0103572		XAO:0003213	tibia-fibula
http://purl.obolibrary.org/obo/XPO_0103573		XAO:0003210	humerus
http://purl.obolibrary.org/obo/XPO_0103574		XAO:0000055	notochord
http://purl.obolibrary.org/obo/XPO_0103575		XAO:0004108	regenerating tail
http://purl.obolibrary.org/obo/XPO_0103576		XAO:0003101	spinal nerve
http://purl.obolibrary.org/obo/XPO_0103577		XAO:0003026	tail
http://purl.obolibrary.org/obo/XPO_0103578		XAO:0003211	tarsus
http://purl.obolibrary.org/obo/XPO_0103579		XAO:0003025	trunk
http://purl.obolibrary.org/obo/XPO_0103580		XAO:0003004	whole organism
http://purl.obolibrary.org/obo/XPO_0103582		XAO:0005203	dorsal-ventral axis
http://purl.obolibrary.org/obo/XPO_0103583		XAO:0003092	trigeminal nerve
