defined_class	defined_class_name	anatomical_entity	anatomical_entity_label
http://purl.obolibrary.org/obo/XPO_0141631		XAO:0000189	auditory apparatus
http://purl.obolibrary.org/obo/XPO_0141632		XAO:0000154	bladder
http://purl.obolibrary.org/obo/XPO_0141633		XAO:0000010	brain
http://purl.obolibrary.org/obo/XPO_0141634		XAO:0000121	bronchus
http://purl.obolibrary.org/obo/XPO_0141635		XAO:0005198	cardiac atrium
http://purl.obolibrary.org/obo/XPO_0141636		XAO:0003193	cardiac ventricle
http://purl.obolibrary.org/obo/XPO_0141637		XAO:0003165	cavitated compound organ
http://purl.obolibrary.org/obo/XPO_0141638		XAO:0000179	eye
http://purl.obolibrary.org/obo/XPO_0141639		XAO:0000135	gall bladder
http://purl.obolibrary.org/obo/XPO_0141640		XAO:0003146	gonad
http://purl.obolibrary.org/obo/XPO_0141641		XAO:0000064	heart
http://purl.obolibrary.org/obo/XPO_0141642		XAO:0000129	intestine
http://purl.obolibrary.org/obo/XPO_0141643		XAO:0003267	kidney
http://purl.obolibrary.org/obo/XPO_0141644		XAO:0003081	larynx
http://purl.obolibrary.org/obo/XPO_0141645		XAO:0003191	left atrium
http://purl.obolibrary.org/obo/XPO_0141646		XAO:0000372	left lymph heart
http://purl.obolibrary.org/obo/XPO_0141647		XAO:0000133	liver
http://purl.obolibrary.org/obo/XPO_0141648		XAO:0000119	lung
http://purl.obolibrary.org/obo/XPO_0141649		XAO:0000273	olfactory organ
http://purl.obolibrary.org/obo/XPO_0141650		XAO:0000136	pancreas
http://purl.obolibrary.org/obo/XPO_0141651		XAO:0003192	right atrium
http://purl.obolibrary.org/obo/XPO_0141652		XAO:0000371	right lymph heart
http://purl.obolibrary.org/obo/XPO_0141653		XAO:0004012	skeletal element
http://purl.obolibrary.org/obo/XPO_0141654		XAO:0003164	solid compound organ
http://purl.obolibrary.org/obo/XPO_0141655		XAO:0000020	spinal cord
http://purl.obolibrary.org/obo/XPO_0141656		XAO:0000328	spleen
http://purl.obolibrary.org/obo/XPO_0141657		XAO:0000128	stomach
http://purl.obolibrary.org/obo/XPO_0141658		XAO:0000163	thymus
http://purl.obolibrary.org/obo/XPO_0141659		XAO:0000162	thyroid
http://purl.obolibrary.org/obo/XPO_0141660		XAO:0000118	trachea
http://purl.obolibrary.org/obo/XPO_0141819		XAO:0000127	esophagus
http://purl.obolibrary.org/obo/XPO_0141820		XAO:0003045	epithelium
