defined_class	defined_class_name	anatomical_entity	anatomical_entity_label
http://purl.obolibrary.org/obo/XPO_0103673		XAO:0003066	hindlimb bud
http://purl.obolibrary.org/obo/XPO_0103674		XAO:0000249	neural plate
http://purl.obolibrary.org/obo/XPO_0103675		XAO:0000045	pre-chordal neural plate
http://purl.obolibrary.org/obo/XPO_0103676		XAO:0004105	pronephric tubule
http://purl.obolibrary.org/obo/XPO_0141827		XAO:0000033	cement gland
http://purl.obolibrary.org/obo/XPO_0141828		XAO:0004024	craniofacial region
http://purl.obolibrary.org/obo/XPO_0141829		XAO:0003024	head
http://purl.obolibrary.org/obo/XPO_0141830		XAO:0003029	mouth
