defined_class	defined_class_name	anatomical_entity	anatomical_entity_label
http://purl.obolibrary.org/obo/XPO_0103454		XAO:0005274	left hindlimb
http://purl.obolibrary.org/obo/XPO_0103455		XAO:0005275	right hindlimb
http://purl.obolibrary.org/obo/XPO_0103456		XAO:0005272	left forelimb
http://purl.obolibrary.org/obo/XPO_0103457		XAO:0005273	right forelimb
http://purl.obolibrary.org/obo/XPO_0103458		XAO:0003030	forelimb
http://purl.obolibrary.org/obo/XPO_0103459		XAO:0003031	hindlimb
http://purl.obolibrary.org/obo/XPO_0103460		XAO:0004239	hindlimb digit 1
http://purl.obolibrary.org/obo/XPO_0103461		XAO:0004412	hindlimb digit 2
http://purl.obolibrary.org/obo/XPO_0103462		XAO:0004413	hindlimb digit 3
http://purl.obolibrary.org/obo/XPO_0103463		XAO:0004414	hindlimb digit 4
http://purl.obolibrary.org/obo/XPO_0103464		XAO:0004415	hindlimb digit 5
http://purl.obolibrary.org/obo/XPO_0103465		XAO:0004478	forelimb digit 2
http://purl.obolibrary.org/obo/XPO_0103466		XAO:0004479	forelimb digit 3
http://purl.obolibrary.org/obo/XPO_0103467		XAO:0004480	forelimb digit 4
http://purl.obolibrary.org/obo/XPO_0103468		XAO:0004481	forelimb digit 5
