defined_class	entity_label	entity
http://purl.obolibrary.org/obo/XPO_0103321	alimentary system	XAO:0000125
http://purl.obolibrary.org/obo/XPO_0103322	archenteron	XAO:0000092
http://purl.obolibrary.org/obo/XPO_0103323	brain	XAO:0000010
http://purl.obolibrary.org/obo/XPO_0103324	branchial arch	XAO:0000099
http://purl.obolibrary.org/obo/XPO_0103325	branchial arch skeleton	XAO:0003180
http://purl.obolibrary.org/obo/XPO_0103326	cement gland	XAO:0000033
http://purl.obolibrary.org/obo/XPO_0103327	ceratobranchial I	XAO:0004359
http://purl.obolibrary.org/obo/XPO_0103328	ceratobranchial II	XAO:0004360
http://purl.obolibrary.org/obo/XPO_0103329	ceratobranchial III	XAO:0004361
http://purl.obolibrary.org/obo/XPO_0103330	ceratobranchial IV	XAO:0004362
http://purl.obolibrary.org/obo/XPO_0103331	ceratohyal	XAO:0004219
http://purl.obolibrary.org/obo/XPO_0103332	chondrocranium	XAO:0003059
http://purl.obolibrary.org/obo/XPO_0103333	dorsal marginal zone	XAO:0000072
http://purl.obolibrary.org/obo/XPO_0103334	duodenum	XAO:0000236
http://purl.obolibrary.org/obo/XPO_0103335	epaxial muscle	XAO:0003229
http://purl.obolibrary.org/obo/XPO_0103336	eye	XAO:0000179
http://purl.obolibrary.org/obo/XPO_0103337	eye primordium	XAO:0000227
http://purl.obolibrary.org/obo/XPO_0103338	fin	XAO:0000002
http://purl.obolibrary.org/obo/XPO_0103339	foregut	XAO:0000232
http://purl.obolibrary.org/obo/XPO_0103340	forelimb	XAO:0003030
http://purl.obolibrary.org/obo/XPO_0103341	forebrain	XAO:0000011
http://purl.obolibrary.org/obo/XPO_0103342	head	XAO:0003024
http://purl.obolibrary.org/obo/XPO_0103343	heart	XAO:0000064
http://purl.obolibrary.org/obo/XPO_0103344	hindbrain	XAO:0000015
http://purl.obolibrary.org/obo/XPO_0103345	hindlimb	XAO:0003031
http://purl.obolibrary.org/obo/XPO_0103346	hindlimb bud	XAO:0003066
http://purl.obolibrary.org/obo/XPO_0103347	hyoid arch skeleton	XAO:0003177
http://purl.obolibrary.org/obo/XPO_0103348	jaw muscle	XAO:0003269
http://purl.obolibrary.org/obo/XPO_0103349	mandibular arch	XAO:0000097
http://purl.obolibrary.org/obo/XPO_0103350	Meckel's cartilage	XAO:0003085
http://purl.obolibrary.org/obo/XPO_0103351	midbrain	XAO:0000014
http://purl.obolibrary.org/obo/XPO_0103352	mouth	XAO:0003029
http://purl.obolibrary.org/obo/XPO_0103353	muscle	XAO:0000172
http://purl.obolibrary.org/obo/XPO_0103354	myotome	XAO:0000315
http://purl.obolibrary.org/obo/XPO_0103355	notochord	XAO:0000055
http://purl.obolibrary.org/obo/XPO_0103356	pancreas	XAO:0000136
http://purl.obolibrary.org/obo/XPO_0103357	pharyngeal arch	XAO:0000096
http://purl.obolibrary.org/obo/XPO_0103358	pharyngeal region	XAO:0004261
http://purl.obolibrary.org/obo/XPO_0103359	proximal tubule	XAO:0004518
http://purl.obolibrary.org/obo/XPO_0103360	pseudoblastema	XAO:0004402
http://purl.obolibrary.org/obo/XPO_0103361	regenerating forelimb	XAO:0004106
http://purl.obolibrary.org/obo/XPO_0103362	regenerating hindlimb	XAO:0004107
http://purl.obolibrary.org/obo/XPO_0103363	spinal cord	XAO:0000020
http://purl.obolibrary.org/obo/XPO_0103364	stomach	XAO:0000128
http://purl.obolibrary.org/obo/XPO_0103365	tail	XAO:0003026
http://purl.obolibrary.org/obo/XPO_0103366	tail region	XAO:0000087
http://purl.obolibrary.org/obo/XPO_0103367	tibia-fibula	XAO:0003213
http://purl.obolibrary.org/obo/XPO_0103368	trunk	XAO:0003025
http://purl.obolibrary.org/obo/XPO_0103369	trunk region	XAO:0000054
http://purl.obolibrary.org/obo/XPO_0103370	trunk somite	XAO:0000314
http://purl.obolibrary.org/obo/XPO_0103371	whole organism	XAO:0003004
