defined_class	defined_class_name	anatomical_entity	anatomical_entity_label
http://purl.obolibrary.org/obo/XPO_0103699		XAO:0005202	anterior-posterior axis
http://purl.obolibrary.org/obo/XPO_0103700		XAO:0003210	humerus
http://purl.obolibrary.org/obo/XPO_0103701		XAO:0000307	anterior neural tube
http://purl.obolibrary.org/obo/XPO_0103702		XAO:0003026	tail
http://purl.obolibrary.org/obo/XPO_0103703		XAO:0005264	dorsal tail
http://purl.obolibrary.org/obo/XPO_0103704		XAO:0005265	dorsal trunk
http://purl.obolibrary.org/obo/XPO_0103705		XAO:0005204	left-right axis
