defined_class	defined_class_name	biological_process	biological_process_label
http://purl.obolibrary.org/obo/XPO_0141594		GO:0007552	metamorphosis
		GO:0021994	progression of neural tube closure
		GO:0009790	embryo development
		GO:0007369	gastrulation
		GO:0001837	epithelial to mesenchymal transition
