defined_class	defined_class_name	biological_process	biological_process_label	location	location_label
http://purl.obolibrary.org/obo/XPO_0103920	decreased cell migration in cranial neural crest	GO:0016477	cell migration	XAO:0001001	cranial neural crest
http://purl.obolibrary.org/obo/XPO_0103923	decreased mitotic nuclear division in proximal tubule	GO:0140014	mitotic nuclear division	XAO:0004518	proximal tubule
http://purl.obolibrary.org/obo/XPO_0103925	decreased neuron differentiation in optic tectum	GO:0030182	neuron differentiation	XAO:0003226	optic tectum
