defined_class	defined_class_name	biological_process	biological_process_label
http://purl.obolibrary.org/obo/XPO_0116494	absent biological process	GO:0008150	biological_process
http://purl.obolibrary.org/obo/XPO_0133388		GO:0008286	insulin receptor signaling pathway
