defined_class	defined_class_label	entity	entity_label
		XAO:0000310	anterior neural fold
		XAO:0005202	anterior-posterior axis
		XAO:0000092	archenteron
		XAO:0003096	glossopharyngeal nerve
		XAO:0003094	facial nerve
		XAO:0003097	vagus nerve
		XAO:0003214	femur
		XAO:0003030	forelimb
		XAO:0004295	forelimb stylopod
		XAO:0004297	forelimb zeugopod
		XAO:0003031	hindlimb
		XAO:0003035	hindlimb digit
		XAO:0003213	tibia-fibula
		XAO:0003210	humerus
		XAO:0000055	notochord
		XAO:0004108	regenerating tail
		XAO:0003101	spinal nerve
		XAO:0003026	tail
		XAO:0003211	tarsus
		XAO:0003025	trunk
		XAO:0003004	whole organism
		XAO:0005217	posterior region
		XAO:0005203	dorsal-ventral axis
		XAO:0003092	trigeminal nerve
