defined_class	defined_class_name	anatomical_entity	anatomical_entity_label
http://purl.obolibrary.org/obo/XPO_0133350		XAO:0000130	small intestine
http://purl.obolibrary.org/obo/XPO_0133351		XAO:0005063	external coil of the small intestine
http://purl.obolibrary.org/obo/XPO_0133352		XAO:0005064	internal coil of the small intestine
