defined_class	defined_class_name	anatomical_entity	anatomical_entity_label
http://purl.obolibrary.org/obo/XPO_0103706		XAO:0000188	optic nerve
http://purl.obolibrary.org/obo/XPO_0103707		XAO:0003024	head
http://purl.obolibrary.org/obo/XPO_0103708		XAO:0000475	optic stalk
http://purl.obolibrary.org/obo/XPO_0103709		XAO:0003025	trunk
http://purl.obolibrary.org/obo/XPO_0131749		XAO:0000202	animal hemisphere
http://purl.obolibrary.org/obo/XPO_0141333		XAO:0003217	retinal pigmented epithelium
http://purl.obolibrary.org/obo/XPO_0141334		XAO:0003004	whole organism
http://purl.obolibrary.org/obo/XPO_0141335		XAO:0004063	dorsal fin
http://purl.obolibrary.org/obo/XPO_0141336		XAO:0000028	epidermis
http://purl.obolibrary.org/obo/XPO_0141337		XAO:0000179	eye
