defined_class	defined_class_name	biological_process	biological_process_label
http://purl.obolibrary.org/obo/XPO_0103771		GO:0003401	axis elongation
http://purl.obolibrary.org/obo/XPO_0103772		GO:0032502	developmental process
http://purl.obolibrary.org/obo/XPO_0141596		GO:0007552	metamorphosis
