defined_class	defined_class_name	entity	entity_label	shape	shape_label
http://purl.obolibrary.org/obo/XPO_0141542		XAO:0003213	tibia-fibula	PATO:0001879	U-shaped
http://purl.obolibrary.org/obo/XPO_0141543		XAO:0004106	regenerating forelimb	PATO:0002021	conical
http://purl.obolibrary.org/obo/XPO_0141544	increased branchiness of regenerating forelimb	XAO:0004106	regenerating forelimb	PATO:0002285	increased branchiness
