defined_class	defined_class_name	anatomical_entity	anatomical_entity_label
http://purl.obolibrary.org/obo/XPO_0103787		XAO:0005262	anterior dorsal fin
http://purl.obolibrary.org/obo/XPO_0103788		XAO:0005260	ventral trunk
