defined_class	defined_class_label	entity	entity_label
http://purl.obolibrary.org/obo/XPO_0103235		XAO:0004105	pronephric tubule
http://purl.obolibrary.org/obo/XPO_0103236		XAO:0004219	ceratohyal
http://purl.obolibrary.org/obo/XPO_0103237		XAO:0003149	primordial germ cell
http://purl.obolibrary.org/obo/XPO_0103238		XAO:0000307	anterior neural tube
		GO:0000235	astral microtubule
		GO:0005876	spindle microtubule
		XAO:0004121	apical ectodermal ridge
		XAO:0004265	autopod
		XAO:0004231	barbel
		XAO:0000208	blastopore
		XAO:0000010	brain
		XAO:0004013	cartilage element
		XAO:0004022	cartilaginous condensation
		XAO:0000033	cement gland
		XAO:0000215	central nervous system
		XAO:0000179	eye
		XAO:0003214	femur
		XAO:0003030	forelimb
		XAO:0003065	forelimb bud
		XAO:0004478	forelimb digit 2
		XAO:0004479	forelimb digit 3
		XAO:0004480	forelimb digit 4
		XAO:0004481	forelimb digit 5
		XAO:0003061	forelimb skeleton
		XAO:0000135	gall bladder
		XAO:0004299	hand
		XAO:0003024	head
		XAO:0003031	hindlimb
		XAO:0003066	hindlimb bud
		XAO:0003035	hindlimb digit
		XAO:0004412	hindlimb digit 2
		XAO:0004413	hindlimb digit 3
		XAO:0004414	hindlimb digit 4
		XAO:0004415	hindlimb digit 5
		XAO:0004296	hindlimb stylopod
		XAO:0004298	hindlimb zeugopod
		XAO:0003228	hypaxial muscle
		XAO:0000192	inner ear
		XAO:0003266	liver primordium
		XAO:0001002	lung primordium
		XAO:0001014	melanophore
		XAO:0003085	Meckel's cartilage
		XAO:0003204	neural tube
		XAO:0000055	notochord
		XAO:0000275	olfactory pit
		XAO:0000475	optic stalk
		XAO:0000006	otic vesicle
		XAO:0004139	outflow tract
		XAO:0004375	planum trabeculare anticum
		XAO:0004106	regenerating forelimb
		XAO:0004107	regenerating hindlimb
		XAO:0004108	regenerating tail
		XAO:0004286	scapula
		XAO:0000058	somite
		XAO:0004380	suprarostral plate
		XAO:0003026	tail
		XAO:0000107	tail bud
		XAO:0003213	tibia-fibula
		XAO:0004381	trabecula cranii
		XAO:0000088	upper blastopore lip
		XAO:0001103	ventral pancreatic bud
