defined_class	defined_class_name	biological_process	biological_process_label	location	location_label
http://purl.obolibrary.org/obo/XPO_0141976	decreased cilium motility in left-right organizer	GO:0003341	cilium movement	XAO:0005170	left-right organizer
http://purl.obolibrary.org/obo/XPO_0141977	decreased cilium motility in floor plate	GO:0003341	cilium movement	XAO:0000306	floor plate
http://purl.obolibrary.org/obo/XPO_0141978	decreased cilium motility in brain	GO:0003341	cilium movement	XAO:0000010	brain
http://purl.obolibrary.org/obo/XPO_0141979	decreased cilium motility in mucociliary epithelium	GO:0003341	cilium movement	XAO:0004393	mucociliary epithelium
http://purl.obolibrary.org/obo/XPO_0141980	decreased cilium motility in pronephric kidney	GO:0003341	cilium movement	XAO:0002000	pronephric kidney
http://purl.obolibrary.org/obo/XPO_0141981	decreased cilium motility in pronephric nephrostome	GO:0003341	cilium movement	XAO:0000062	pronephric nephrostome
http://purl.obolibrary.org/obo/XPO_0141982	decreased cilium motility in olfactory pit	GO:0003341	cilium movement	XAO:0000275	olfactory pit
http://purl.obolibrary.org/obo/XPO_0141983	decreased cilium motility in alimentary system	GO:0003341	cilium movement	XAO:0000125	alimentary system
http://purl.obolibrary.org/obo/XPO_0141984	decreased cilium motility in stomach	GO:0003341	cilium movement	XAO:0000128	stomach
http://purl.obolibrary.org/obo/XPO_0141985	decreased cilium motility in esophagus	GO:0003341	cilium movement	XAO:0000127	esophagus
http://purl.obolibrary.org/obo/XPO_0141986	decreased cilium motility in ciliated cell	GO:0003341	cilium movement	XAO:0005017	ciliated cell
http://purl.obolibrary.org/obo/XPO_0141987	decreased cilium motility in monociliated cell	GO:0003341	cilium movement	XAO:0005137	monociliated cell
http://purl.obolibrary.org/obo/XPO_0141988	decreased cilium motility in multiciliated cell	GO:0003341	cilium movement	XAO:0005139	multiciliated cell
http://purl.obolibrary.org/obo/XPO_0141989	decreased cilium motility in ciliated epidermal cell	GO:0003341	cilium movement	XAO:0000031	ciliated epidermal cell
http://purl.obolibrary.org/obo/XPO_0141990	decreased cilium motility in ciliated non-epidermal cell	GO:0003341	cilium movement	XAO:0004517	ciliated non-epidermal cell
http://purl.obolibrary.org/obo/XPO_0141991	decreased cilium motility in monociliated epidermal cell	GO:0003341	cilium movement	XAO:0005178	monociliated epidermal cell
http://purl.obolibrary.org/obo/XPO_0141992	decreased cilium motility in multiciliated epidermal cell	GO:0003341	cilium movement	XAO:0005179	multiciliated epidermal cell
