defined_class	defined_class_name	biological_process	biological_process_label
http://purl.obolibrary.org/obo/XPO_0103642		GO:0008283	cell proliferation
http://purl.obolibrary.org/obo/XPO_0131753		GO:0071929	alpha-tubulin acetylation
http://purl.obolibrary.org/obo/XPO_0141599		GO:0007552	metamorphosis
		GO:0061053	somite development
