defined_class	defined_class_name	anatomical_entity	anatomical_entity_label
http://purl.obolibrary.org/obo/XPO_0142815		XAO:0000188	optic nerve
http://purl.obolibrary.org/obo/XPO_0142816		XAO:0003024	head
http://purl.obolibrary.org/obo/XPO_0142817		XAO:0000475	optic stalk
http://purl.obolibrary.org/obo/XPO_0142818		XAO:0003025	trunk
http://purl.obolibrary.org/obo/XPO_0142819		XAO:0000202	animal hemisphere
http://purl.obolibrary.org/obo/XPO_0142820		XAO:0003217	retinal pigmented epithelium
http://purl.obolibrary.org/obo/XPO_0142821		XAO:0003004	whole organism
http://purl.obolibrary.org/obo/XPO_0142822		XAO:0004063	dorsal fin
http://purl.obolibrary.org/obo/XPO_0142823		XAO:0000028	epidermis
http://purl.obolibrary.org/obo/XPO_0142824		XAO:0000179	eye
