defined_class	defined_class_name	anatomical_entity	anatomical_entity_label
http://purl.obolibrary.org/obo/XPO_0103911		XAO:0000207	blastocoel roof
http://purl.obolibrary.org/obo/XPO_0103912		XAO:0000188	optic nerve
http://purl.obolibrary.org/obo/XPO_0103913		XAO:0000001	ectoderm
http://purl.obolibrary.org/obo/XPO_0103914		XAO:0000028	epidermis
http://purl.obolibrary.org/obo/XPO_0103915		XAO:0003210	humerus
http://purl.obolibrary.org/obo/XPO_0103916		XAO:0000249	neural plate
http://purl.obolibrary.org/obo/XPO_0103917		XAO:0000042	neuroectoderm
http://purl.obolibrary.org/obo/XPO_0103918		XAO:0004091	non-neural ectoderm
http://purl.obolibrary.org/obo/XPO_0103919		XAO:0000475	optic stalk
