defined_class	defined_class_label	entity	entity_label	location	location_label
		GO:0016477	cell migration	XAO:0001001	cranial neural crest
		GO:0008283	cell proliferation	XAO:0000068	marginal zone
		GO:0008283	cell proliferation	XAO:0004513	foregut primordium
		GO:0140014	mitotic nuclear division	XAO:0004518	proximal tubule
		GO:0061351	neural precursor cell proliferation	XAO:0003226	optic tectum
		GO:0030182	neuron differentiation	XAO:0003226	optic tectum
