defined_class	defined_class_name	biological_process	biological_process_label	location	location_label
http://purl.obolibrary.org/obo/XPO_0131751	decreased cell migration of multiciliated epidermal cell	GO:0016477	cell migration	XAO:0005179	multiciliated epidermal cell
http://purl.obolibrary.org/obo/XPO_0133383	decreased cell migration in branchial crest	GO:0016477	cell migration	XAO:0000026	branchial crest
http://purl.obolibrary.org/obo/XPO_0133384	decreased cell migration in hyoid crest	GO:0016477	cell migration	XAO:0000025	hyoid crest
http://purl.obolibrary.org/obo/XPO_0133385	decreased cell migration in mandibular crest	GO:0016477	cell migration	XAO:0000024	mandibular crest
http://purl.obolibrary.org/obo/XPO_0133386	decreased cell migration in anterior branchial crest	GO:0016477	cell migration	XAO:0004187	anterior branchial crest
http://purl.obolibrary.org/obo/XPO_0133387	decreased cell migration in posterior branchial crest	GO:0016477	cell migration	XAO:0004188	posterior branchial crest
